Date,Open,High,Low,Close,Volume
2014/9/29,100.589996,100.690002,98.040001,99.620003,142718700
2014/10/6,99.949997,102.379997,98.309998,100.730003,280258200
2014/10/13,101.330002,101.779999,95.18,97.669998,358539800
2014/10/20,98.32,105.489998,98.220001,105.220001,358532900
2014/10/27,104.849998,108.040001,104.699997,108,220230600
2014/11/3,108.220001,110.300003,107.720001,109.010002,199952900
2014/11/10,109.019997,114.190002,108.400002,114.18,205166700
2014/11/17,114.269997,117.57,113.300003,116.470001,233414700
2014/11/24,116.849998,119.75,116.620003,118.93,181873900
2014/12/1,118.809998,119.25,111.269997,115,266589700
2014/12/8,114.099998,114.849998,109.349998,109.730003,259868000
2014/12/15,110.699997,113.239998,106.260002,111.779999,328856600
2014/12/22,112.160004,114.519997,111.970001,113.989998,119396500
2014/12/29,113.790001,114.769997,107.349998,109.330002,152088400
2015/1/5,108.290001,113.25,104.629997,112.010002,283252500
2015/1/12,112.599998,112.800003,105.199997,105.989998,303607000
2015/1/19,107.839996,113.75,106.5,112.980003,198737000
2015/1/26,113.739998,120,109.029999,117.160004,465842700
2015/2/2,118.050003,120.510002,116.080002,118.93,270757300
2015/2/9,118.550003,127.480003,118.43,127.080002,303206800
2015/2/16,127.489998,129.5,126.919998,129.5,194354900
2015/2/23,130.020004,133.600006,126.610001,128.460007,368216200
2015/3/2,129.25,130.279999,125.760002,126.599998,246938500
2015/3/9,127.959999,129.570007,121.629997,123.589996,326514100
2015/3/16,123.879997,129.25,122.870003,125.900002,266672900
2015/3/23,127.120003,128.039993,122.599998,123.25,209326300
2015/3/30,124.050003,126.489998,123.099998,125.32,162031800
2015/4/6,124.470001,128.119995,124.330002,127.099998,182207500
2015/4/13,128.369995,128.570007,124.459999,124.75,171186100
2015/4/20,125.57,130.630005,125.169998,130.279999,207440700
2015/4/27,132.309998,134.539993,124.580002,128.949997,420972300
2015/5/4,129.5,130.570007,123.360001,127.620003,271892000
2015/5/11,127.389999,129.490005,124.82,128.770004,208301500
2015/5/18,128.380005,132.970001,128.360001,132.539993,217297400
2015/5/25,132.600006,132.910004,129.119995,130.279999,198148600
2015/6/1,130.279999,131.389999,128.360001,128.649994,170746700
2015/6/8,128.899994,130.179993,125.620003,127.169998,220114600
2015/6/15,126.099998,128.309998,125.709999,126.599998,198525200
2015/6/22,127.489998,129.800003,126.510002,126.75,195594000
2015/6/29,125.459999,126.940002,124.480003,126.440002,150981900
2015/7/6,124.940002,126.230003,119.220001,123.279999,274944900
2015/7/13,125.029999,129.619995,124.32,129.619995,189244900
2015/7/20,130.970001,132.970001,121.989998,124.5,344269000
2015/7/27,123.089996,123.910004,120.910004,121.300003,191598600
2015/8/3,121.5,122.57,112.099998,115.519997,385000600
2015/8/10,116.529999,119.989998,109.629997,115.959999,344717200
2015/8/17,116.040001,117.650002,105.650002,105.760002,319668200
2015/8/24,94.870003,113.309998,92,113.290001,500363000
2015/8/31,112.029999,114.529999,107.360001,109.269997,298194200
2015/9/7,111.75,114.209999,109.769997,114.209999,252662700
2015/9/14,116.580002,116.889999,111.870003,113.449997,277276000
2015/9/21,113.669998,116.690002,112.370003,114.709999,242696300
2015/9/28,113.849998,114.57,107.309998,110.379997,313896300
2015/10/5,109.879997,112.279999,108.209999,112.120003,261772800
2015/10/12,112.730003,112.75,109.559998,111.040001,184885000
2015/10/19,110.800003,119.230003,110.110001,119.080002,221354200
2015/10/26,118.080002,121.220001,113.989998,119.5,322362200
2015/11/2,120.800003,123.82,119.610001,121.059998,195203400
2015/11/9,120.959999,121.809998,112.269997,112.339996,216555300
2015/11/16,111.379997,119.919998,111,119.300003,189981200
2015/11/23,119.269997,119.730003,117.120003,117.809998,109720400
2015/11/30,117.989998,119.410004,114.220001,119.029999,206765800
2015/12/7,118.980003,119.860001,112.849998,113.18,188745500
2015/12/14,112.18,112.800003,105.809998,106.029999,315106400
2015/12/21,107.279999,109,105.57,108.029999,126607800
2015/12/28,107.589996,109.43,104.82,105.260002,123484500
2016/1/4,102.610001,105.849998,96.43,96.959999,343790200
2016/1/11,98.970001,101.190002,95.360001,97.129997,303513300
2016/1/18,98.410004,101.459999,93.419998,101.419998,243384100
2016/1/25,101.519997,101.529999,92.389999,97.339996,380336500
2016/2/1,96.470001,97.330002,93.690002,94.019997,217154800
2016/2/8,93.129997,96.349998,92.589996,93.989998,231122300
2016/2/15,95.019997,98.889999,94.610001,96.040001,168316300
2016/2/22,96.309998,98.019997,93.32,96.910004,159052900
2016/2/29,96.860001,103.75,96.650002,103.010002,201803800
2016/3/7,102.389999,102.830002,100.150002,102.260002,155514300
2016/3/14,101.910004,106.5,101.779999,105.919998,182073200
2016/3/21,105.93,107.650002,104.889999,105.669998,119783600
2016/3/28,106,110.419998,104.879997,109.989998,147965000
2016/4/4,110.419998,112.190002,108.120003,108.660004,145722600
2016/4/11,108.970001,112.389999,108.660004,109.849998,162310000
2016/4/18,108.889999,108.949997,104.620003,105.68,189065500
2016/4/25,105,105.650002,92.510002,93.739998,349424100
2016/5/2,93.970001,95.900002,91.849998,92.720001,225365600
2016/5/9,93,93.769997,89.470001,90.519997,216049800
2016/5/16,92.389999,95.43,91.650002,95.220001,212707200
2016/5/23,95.870003,100.730003,95.669998,100.349998,203888300
2016/5/30,99.599998,100.400002,96.629997,97.919998,139735000
2016/6/6,97.989998,101.889999,97.550003,98.830002,124864400
2016/6/13,98.690002,99.120003,95.300003,95.330002,191732600
2016/6/20,96,96.889999,92.650002,93.400002,206729000
2016/6/27,93,96.470001,91.5,95.889999,184328400
2016/7/4,95.389999,96.889999,94.370003,96.68,112706000
2016/7/11,96.75,99.300003,96.730003,98.779999,142910600
2016/7/18,98.699997,101,98.309998,98.660004,147565500
2016/7/25,98.25,104.550003,96.419998,104.209999,256571000
2016/8/1,104.410004,107.650002,104,107.480003,170149200
2016/8/8,107.519997,108.940002,107.160004,108.18,124505800
2016/8/15,108.139999,110.230003,108.080002,109.360001,132371400
2016/8/22,108.860001,109.32,106.309998,106.940002,123605500
2016/8/29,106.620003,108,105.5,107.730003,133000600
2016/9/5,107.900002,108.760002,103.129997,103.129997,168803700
2016/9/12,102.650002,116.129997,102.529999,114.919998,388228200
2016/9/19,115.190002,116.18,111.550003,112.709999,201095700
2016/9/26,111.639999,114.639999,111.550003,113.050003,156384000
2016/10/3,112.709999,114.559998,112.279999,114.059998,126029400
2016/10/10,115.019997,118.690002,114.720001,117.629997,208708400
2016/10/17,117.330002,118.209999,113.800003,116.599998,115531500
2016/10/24,117.099998,118.360001,113.309998,113.720001,210225600
2016/10/31,113.650002,114.230003,108.110001,108.839996,156346500
2016/11/7,110.080002,111.720001,105.830002,108.43,207019500
2016/11/14,107.709999,110.540001,104.080002,110.059998,198341400
2016/11/21,110.120003,112.419998,110.010002,111.790001,94132400
2016/11/28,111.43,112.470001,108.849998,109.900002,155500000
2016/12/5,110,114.699997,108.25,113.949997,151989600
2016/12/12,113.290001,116.730003,112.489998,115.970001,195015600
2016/12/19,115.800003,117.5,115.589996,116.519997,113254700
2016/12/26,116.519997,118.019997,115.43,115.82,84828600
2017/1/2,115.800003,118.160004,114.760002,117.910004,103845500
2017/1/9,117.949997,119.93,117.940002,119.040001,138810700
2017/1/16,118.339996,120.5,118.220001,120,116348000
2017/1/23,120,122.440002,119.5,121.949997,124539300
2017/1/30,120.93,130.490005,120.620003,129.080002,249781200
2017/2/6,129.130005,132.940002,128.899994,132.119995,136449200
2017/2/13,133.080002,136.270004,132.75,135.720001,136667500
2017/2/20,136.229996,137.479996,135.279999,136.660004,87908900
2017/2/27,137.139999,140.279999,136.279999,139.779999,127474000
2017/3/6,139.369995,139.979996,137.050003,139.139999,99672200
2017/3/13,138.850006,141.020004,138.820007,139.990005,121539600
2017/3/20,140.399994,142.800003,139.729996,140.639999,129674000
2017/3/27,139.389999,144.5,138.619995,143.660004,127008900
2017/4/3,143.710007,145.460007,143.050003,143.339996,105416200
2017/4/10,143.600006,143.880005,140.059998,141.050003,87485700
2017/4/17,141.479996,142.919998,140.449997,142.270004,89248500
2017/4/24,143.5,144.899994,143.179993,143.649994,91153700
2017/5/1,145.100006,148.979996,144.270004,148.960007,175351700
2017/5/8,149.029999,156.419998,149.029999,156.100006,173470600
2017/5/15,156.009995,156.649994,149.710007,153.059998,157354900
2017/5/22,154,154.899994,152.669998,153.610001,103000000
2017/5/29,153.419998,155.449997,152.220001,155.449997,88752900
2017/6/5,154.339996,155.979996,146.020004,148.979996,159159700
2017/6/12,145.740005,147.5,142.199997,142.270004,220530400
2017/6/19,143.660004,147.160004,143.660004,146.279999,133253000
2017/6/26,147.169998,148.279999,142.279999,144.020004,127060200
2017/7/3,144.880005,145.300003,142.410004,144.179993,79158400
2017/7/10,144.110001,149.330002,143.369995,149.039993,111088400
2017/7/17,148.820007,151.740005,148.570007,150.270004,106081600
2017/7/24,150.580002,153.990005,147.300003,149.5,105818100
2017/7/31,149.899994,159.75,148.130005,156.389999,172808500
2017/8/7,157.059998,161.830002,154.630005,157.479996,151269100
2017/8/14,159.320007,162.509995,156.720001,157.5,134628500
2017/8/21,157.5,160.740005,155.110001,159.860001,112671200
2017/8/28,160.139999,164.940002,159.929993,164.050003,126128700
2017/9/4,163.75,164.25,158.529999,158.630005,101660200
2017/9/11,160.5,163.960007,157.910004,159.880005,220582600
2017/9/18,160.110001,160.5,150.559998,151.889999,186188500
2017/9/25,149.990005,154.720001,149.160004,154.119995,154856800
2017/10/2,154.259995,155.490005,152.460007,155.300003,93784300
2017/10/9,155.809998,158,155.100006,156.990005,81304800
2017/10/16,157.899994,160.869995,155.020004,156.25,126051300
2017/10/23,156.889999,163.600006,155.270004,163.050003,122403300
2017/10/30,163.889999,174.259995,163.720001,172.5,215177400
2017/11/6,172.369995,176.240005,171.720001,174.669998,138425400
2017/11/13,173.5,174.5,168.380005,170.149994,116459700
2017/11/20,170.289993,175.5,169.559998,174.970001,81009300
2017/11/27,175.050003,175.080002,167.160004,171.050003,170098500
2017/12/4,172.479996,172.619995,166.460007,169.369995,137481100
2017/12/11,169.199997,174.169998,168.789993,173.970001,139147200
2017/12/18,174.880005,177.199997,173.25,175.009995,117632400
2017/12/25,170.800003,171.850006,169.220001,169.229996,97163800
2018/1/1,170.160004,175.369995,169.259995,175,101168400
2018/1/8,174.350006,177.360001,173,177.089996,110197500
2018/1/15,177.899994,180.100006,175.070007,178.460007,127571200
2018/1/22,177.300003,179.440002,170.059998,171.509995,191574800
2018/1/29,170.160004,170.160004,160.100006,160.5,262992100
2018/2/5,159.100006,163.880005,150.240005,156.410004,317654000
2018/2/12,158.5,174.820007,157.509995,172.429993,225336900
2018/2/19,172.050003,175.649994,171.009995,175.5,136206400
2018/2/26,176.350006,180.619995,172.449997,176.210007,202128400
2018/3/5,175.210007,180,174.270004,179.979996,139852700
2018/3/12,180.289993,183.5,177.619995,178.020004,155417500
2018/3/19,177.320007,177.470001,164.940002,164.940002,172670700
2018/3/26,168.070007,175.149994,165.190002,167.779999,157898400
2018/3/29,167.804993,171.75,166.899994,167.779999,38398505
